tcp.flags,tcp.time_delta,tcp.len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.topic,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,Line_origin,Line_prediction
"0x0018","0.000237029","29",,,,,"1","0","0","0","0","0","0","0x02",,"0x10","60","27",,,,"1","4","MQTT",,,,,"4",,,,,UNKNOWN,legitimate
"0x0018","0.006040084","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e353737353030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.189318210","42",,,,,,,,,,,,,"0","0x30",,"40","iot/intensity-response","4d657373616765205265636569766564",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.012108553","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32302e383235333639",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","2.964556864","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","33342e303530303938",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.008148497","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","313230",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.012061575","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e313433323030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.013915927","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","31362e323537323832",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.011799494","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","313339",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.022514836","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32392e383636363137",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.004775932","19",,,,,,,,,,,,,"0","0x30",,"17","iot/intensity","3137",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.997460963","42",,,,,,,,,,,,,"0","0x30",,"40","iot/intensity-response","4d657373616765205265636569766564",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.001583835","29",,,,,"1","0","0","0","0","0","0","0x02",,"0x10","60","27",,,,"1","4","MQTT",,,,,"4",,,,,UNKNOWN,legitimate
"0x0018","0.011417677","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","33332e373430313530",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","2.963779895","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","31352e323632363630",,"3",,,"0","0",,,,,,,,legitimate,malformed
